Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1780  110 0003C0C0 FrostCrashedWindow
       1781  111 00032850 GetActiveWindow
       1782  112 00089BC0 GetAltTabInfo
       1783  113 00089BC0 GetAltTabInfoA
       1784  114 00068FA0 GetAltTabInfoW
       1785  115 00039410 GetAncestor
       1787  116 00032440 GetAppCompatFlags
       1786  117 00013E00 GetAppCompatFlags2
       1788  118 0001E830 GetAsyncKeyState
       1789  119 0003C0E0 GetAutoRotationState
       1790  11A 0003C0F0 GetCIMSSM
       1791  11B 0002CD70 GetCapture
       1792  11C 00039830 GetCaretBlinkTime
       1793  11D 0003C100 GetCaretPos
       1794  11E 00031060 GetClassInfoA
       1795  11F 000310B0 GetClassInfoExA
       1796  120 000195C0 GetClassInfoExW
       1797  121 00019540 GetClassInfoW
       1798  122 00031CE0 GetClassLongA
       1799  123 0001C530 GetClassLongW
       1800  124 0002E960 GetClassNameA
       1801  125 0001EF00 GetClassNameW
       1802  126 0005A7A0 GetClassWord
       1803  127 00015A00 GetClientRect
       1804  128 0003C110 GetClipCursor
       1805  129 0003C120 GetClipboardAccessToken
       1806  12A 00032C00 GetClipboardData
       1807  12B 00034910 GetClipboardFormatNameA
       1808  12C 000343C0 GetClipboardFormatNameW
       1809  12D 00039580 GetClipboardOwner
       1810  12E 00038E50 GetClipboardSequenceNumber
       1811  12F 0003C130 GetClipboardViewer
       1812  130 0003C140 GetComboBoxInfo
       1813  131 0003C150 GetCurrentInputMessageSource
       1814  132 00032860 GetCursor
       1815  133 000607D0 GetCursorFrameInfo
       1816  134 0003C170 GetCursorInfo
       1817  135 0002F6D0 GetCursorPos
       1818  136 000389A0 GetDC
       1819  137 00039210 GetDCEx
       1820  138 0003C190 GetDesktopID
       1821  139 00013480 GetDesktopWindow
       1822  13A 00022B20 GetDialogBaseUnits
       1823  13B 0003C1A0 GetDisplayAutoRotationPreferences
       1824  13C 0008AD40 GetDisplayConfigBufferSizes
       1825  13D 00022050 GetDlgCtrlID
       1826  13E 0002CC50 GetDlgItem
       1827  13F 0002D080 GetDlgItemInt
       1828  140 00089170 GetDlgItemTextA
       1829  141 0002C920 GetDlgItemTextW
       1830  142 00039450 GetDoubleClickTime
       1831  143 00033BC0 GetDpiForMonitorInternal
       1832  144 0003C1E0 GetDpiMetrics
       1833  145 0001EDC0 GetFocus
       1834  146 00038CC0 GetForegroundWindow
       1835  147 000398E0 GetGUIThreadInfo
       1836  148 0003C1F0 GetGestureConfig
       1837  149 0005B500 GetGestureExtraArgs
       1838  14A 0005B520 GetGestureInfo
       1839  14B 0003C220 GetGuiResources
       1840  14C 00030170 GetIconInfo
       1841  14D 00060810 GetIconInfoExA
       1842  14E 00060920 GetIconInfoExW
       1843  14F 0005C8D0 GetInputDesktop
       1844  150 0003C260 GetInputLocaleInfo
       1845  151 00031BF0 GetInputState
       1846  152 0003C270 GetInternalWindowPos
       1847  153 0005C8E0 GetKBCodePage
       1848  154 00089BF0 GetKeyNameTextA
       1849  155 00068FD0 GetKeyNameTextW
       1850  156 0001DDE0 GetKeyState
       1851  157 0001EF30 GetKeyboardLayout
       1852  158 00038E80 GetKeyboardLayoutList
       1853  159 00089C60 GetKeyboardLayoutNameA
       1854  15A 000341A0 GetKeyboardLayoutNameW
       1855  15B 00039070 GetKeyboardState
       1856  15C 0005CD40 GetKeyboardType
       1857  15D 00032270 GetLastActivePopup
       1858  15E 0002E110 GetLastInputInfo
       1859  15F 0003C2A0 GetLayeredWindowAttributes
       1860  160 0003C2B0 GetListBoxInfo
       1861  161 0007B770 GetMagnificationDesktopColorEffect
       1862  162 0007B7F0 GetMagnificationDesktopMagnification
       1863  163 0003C780 GetMagnificationLensCtxInformation
       1864  164 000220C0 GetMenu
       1865  165 00039500 GetMenuBarInfo
       1866  166 0007DDD0 GetMenuCheckMarkDimensions
       1867  167 0007DFA0 GetMenuContextHelpId
       1868  168 0007DFD0 GetMenuDefaultItem
       1869  169 00033540 GetMenuInfo
       1870  16A 00022080 GetMenuItemCount
       1871  16B 00022150 GetMenuItemID
       1872  16C 00020730 GetMenuItemInfoA
       1873  16D 00021750 GetMenuItemInfoW
       1874  16E 0003C2D0 GetMenuItemRect
       1875  16F 00021690 GetMenuState
       1876  170 000891B0 GetMenuStringA
       1877  171 00020290 GetMenuStringW
       1878  172 0002E140 GetMessageA
       1879  173 000336A0 GetMessageExtraInfo
       1880  174 00031BE0 GetMessagePos
       1881  175 00032300 GetMessageTime
       1882  176 00034F70 GetMessageW
       1883  177 00017E50 GetMonitorInfoA
       1884  178 00017CE0 GetMonitorInfoW
       1885  179 0003C2E0 GetMouseMovePointsEx
       1886  17A 0002CF90 GetNextDlgGroupItem
       1887  17B 0002CE10 GetNextDlgTabItem
       1888  17C 00039670 GetOpenClipboardWindow
       1889  17D 0001D780 GetParent
       1890  17E 00034230 GetPhysicalCursorPos
       1891  17F 0003C300 GetPointerCursorId
       1892  180 0003C310 GetPointerDevice
       1893  181 0003C320 GetPointerDeviceCursors
       1894  182 0003C330 GetPointerDeviceProperties
       1895  183 0003C340 GetPointerDeviceRects
       1896  184 0003C350 GetPointerDevices
       1897  185 0003C360 GetPointerFrameArrivalTimes
       1898  186 00011400 GetPointerFrameInfo
       1899  187 00011620 GetPointerFrameInfoHistory
       1900  188 0005FF90 GetPointerFramePenInfo
       1901  189 0005FFC0 GetPointerFramePenInfoHistory
       1902  18A 0005FFF0 GetPointerFrameTouchInfo
       1903  18B 00060030 GetPointerFrameTouchInfoHistory
       1904  18C 000113C0 GetPointerInfo
       1905  18D 00060060 GetPointerInfoHistory
       1906  18E 0003C380 GetPointerInputTransform
       1907  18F 00060090 GetPointerPenInfo
       1908  190 000600D0 GetPointerPenInfoHistory
       1909  191 00011650 GetPointerTouchInfo
       1910  192 00011690 GetPointerTouchInfoHistory
       1911  193 0003C390 GetPointerType
       1912  194 0003C3B0 GetPriorityClipboardFormat
       1913  195 0005CE10 GetProcessDefaultLayout
       1914  196 000331D0 GetProcessDpiAwarenessInternal
